N = 500
alpha = 1.5
beta = 1000
selfLoops = False
253 0 0.66
253 1 1.01
253 2 1.61
483 0 0.66
483 1 1.01
483 2 1.61
92 0 0.81
92 1 0.76
92 2 1.61
345 0 0.81
345 1 0.81
345 2 1.66
207 0 0.76
207 1 1.11
207 2 1.61
368 0 0.81
368 1 0.81
368 2 1.61
437 0 0.76
437 1 0.81
437 2 1.66
391 0 0.81
391 1 1.16
391 2 1.61
322 0 0.76
322 1 1.11
322 2 1.66
0 0 0.61
0 1 0.61
0 2 1.66
299 0 0.81
299 1 1.11
299 2 1.66
115 0 0.56
115 1 0.66
115 2 1.66
23 0 0.76
23 1 0.76
23 2 1.66
414 0 0.66
414 1 0.71
414 2 1.66
276 0 0.81
276 1 0.76
276 2 1.71
138 0 0.81
138 1 0.76
138 2 1.61
230 0 0.76
230 1 1.11
230 2 1.71
184 0 0.76
184 1 1.11
184 2 1.66
69 0 0.66
69 1 0.71
69 2 1.66
46 0 0.66
46 1 0.71
46 2 1.66
460 0 0.81
460 1 1.11
460 2 1.76
161 0 0.76
161 1 1.11
161 2 1.71
323 0 0.71
323 1 0.66
323 2 1.56
254 0 0.81
254 1 1.11
254 2 1.71
208 0 0.66
208 1 0.71
208 2 1.66
484 0 0.66
484 1 0.71
484 2 1.61
24 0 0.66
24 1 0.76
24 2 1.61
369 0 0.76
369 1 0.76
369 2 1.61
47 0 0.76
47 1 1.11
47 2 1.61
392 0 0.76
392 1 0.81
392 2 1.61
116 0 0.81
116 1 0.76
116 2 1.61
346 0 0.76
346 1 1.11
346 2 1.56
438 0 0.56
438 1 0.66
438 2 1.66
139 0 0.71
139 1 0.66
139 2 1.61
93 0 0.76
93 1 0.81
93 2 1.76
70 0 0.66
70 1 0.71
70 2 1.66
1 0 0.66
1 1 1.01
1 2 1.71
415 0 0.76
415 1 0.76
415 2 1.66
300 0 0.76
300 1 1.11
300 2 1.66
277 0 0.66
277 1 1.01
277 2 1.71
461 0 0.56
461 1 0.71
461 2 1.66
231 0 0.76
231 1 0.81
231 2 1.71
162 0 0.76
162 1 0.81
162 2 1.56
185 0 0.61
185 1 1.01
185 2 1.66
485 0 0.66
485 1 0.71
485 2 1.56
324 0 0.76
324 1 1.11
324 2 1.66
255 0 0.66
255 1 0.71
255 2 1.61
117 0 0.81
117 1 0.76
117 2 1.61
393 0 0.61
393 1 1.01
393 2 1.61
48 0 0.76
48 1 0.81
48 2 1.71
209 0 0.61
209 1 1.01
209 2 1.61
439 0 0.81
439 1 1.11
439 2 1.66
94 0 0.76
94 1 0.76
94 2 1.61
25 0 0.71
25 1 0.66
25 2 1.66
140 0 0.66
140 1 0.76
140 2 1.61
416 0 0.66
416 1 0.71
416 2 1.66
370 0 0.81
370 1 0.76
370 2 1.71
347 0 0.81
347 1 0.81
347 2 1.71
71 0 0.71
71 1 0.66
71 2 1.66
301 0 0.76
301 1 1.11
301 2 1.66
462 0 0.66
462 1 1.01
462 2 1.66
278 0 0.81
278 1 0.76
278 2 1.71
2 0 0.81
2 1 0.76
2 2 1.66
163 0 0.76
163 1 0.81
163 2 1.61
232 0 0.81
232 1 1.11
232 2 1.71
186 0 0.66
186 1 0.71
186 2 1.61
256 0 0.76
256 1 0.81
256 2 1.61
325 0 0.81
325 1 0.81
325 2 1.66
486 0 0.76
486 1 1.11
486 2 1.66
210 0 0.81
210 1 0.81
210 2 1.61
394 0 0.81
394 1 1.11
394 2 1.61
440 0 0.66
440 1 0.71
440 2 1.51
49 0 0.76
49 1 1.16
49 2 1.66
26 0 0.76
26 1 0.81
26 2 1.61
417 0 0.81
417 1 0.76
417 2 1.61
118 0 0.81
118 1 0.81
118 2 1.71
348 0 0.81
348 1 0.76
348 2 1.66
141 0 0.81
141 1 0.81
141 2 1.66
302 0 0.56
302 1 0.56
302 2 1.61
463 0 0.81
463 1 1.11
463 2 1.66
95 0 0.81
95 1 0.81
95 2 1.66
371 0 0.81
371 1 0.81
371 2 1.71
72 0 0.61
72 1 1.01
72 2 1.66
3 0 0.81
3 1 0.81
3 2 1.66
164 0 0.81
164 1 1.11
164 2 1.66
233 0 0.61
233 1 1.01
233 2 1.71
187 0 0.76
187 1 0.76
187 2 1.61
279 0 0.81
279 1 1.11
279 2 1.71
257 0 0.76
257 1 0.81
257 2 1.66
487 0 0.66
487 1 0.71
487 2 1.61
326 0 0.66
326 1 1.01
326 2 1.66
27 0 0.66
27 1 0.71
27 2 1.56
211 0 0.61
211 1 0.71
211 2 1.61
441 0 0.81
441 1 0.76
441 2 1.66
395 0 0.81
395 1 1.11
395 2 1.66
418 0 0.61
418 1 1.01
418 2 1.66
119 0 0.71
119 1 0.66
119 2 1.66
349 0 0.66
349 1 0.71
349 2 1.66
303 0 0.61
303 1 0.61
303 2 1.66
142 0 0.76
142 1 0.76
142 2 1.66
50 0 0.81
50 1 0.76
50 2 1.66
73 0 0.66
73 1 1.01
73 2 1.61
165 0 0.76
165 1 0.76
165 2 1.61
96 0 0.71
96 1 0.66
96 2 1.71
464 0 0.81
464 1 1.11
464 2 1.76
372 0 0.76
372 1 0.81
372 2 1.66
234 0 0.66
234 1 1.01
234 2 1.61
4 0 0.76
4 1 1.11
4 2 1.71
188 0 0.76
188 1 0.76
188 2 1.66
280 0 0.81
280 1 0.76
280 2 1.61
258 0 0.76
258 1 0.81
258 2 1.71
28 0 0.56
28 1 0.71
28 2 1.51
442 0 0.66
442 1 1.01
442 2 1.61
396 0 0.81
396 1 0.76
396 2 1.56
488 0 0.81
488 1 0.76
488 2 1.66
327 0 0.81
327 1 0.81
327 2 1.66
120 0 0.56
120 1 0.66
120 2 1.61
212 0 0.81
212 1 0.81
212 2 1.61
51 0 0.66
51 1 0.56
51 2 1.61
166 0 0.76
166 1 1.11
166 2 1.61
304 0 0.76
304 1 0.81
304 2 1.61
419 0 0.76
419 1 1.11
419 2 1.66
74 0 0.66
74 1 0.71
74 2 1.66
235 0 0.76
235 1 0.76
235 2 1.61
350 0 0.76
350 1 0.81
350 2 1.71
373 0 0.61
373 1 0.61
373 2 1.66
